,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2
2,0.004977375860164002,0.3227395012637781,0.5125071735816799,0.49069325950341547,0.0,0.0,0.5466365421004395,0.6515894577447577,0.4867334172048051,0.5419637947530561,0.8850815766518484,0.9209248976475617,0.0,0.0,0.0506047392547805,0.07978338119770051
10,0.0180717505586471,0.8152080653648124,0.011494685012266212,0.972075441959605,0.0,0.0,0.5039530545881917,0.9770537372098558,0.8178876297176619,0.2602356692583234,0.1745869744227179,0.0743669981226002,0.0,0.0,0.6069315495001626,0.6676437798995437
15,0.025462325481762364,0.4607436516908119,0.5110081486374501,0.29587567729440956,0.0,0.0,0.46123832397602693,0.844777649609305,0.9174815374823799,0.5409816056132577,0.6352902466860981,0.9930121194465499,0.0,0.0,0.593219907296707,0.6539656386111676
28,0.06840624868777873,0.026417595296142907,0.040066935659073086,0.833207559015689,0.0,0.0,0.5257493351081118,0.9321056322702497,0.9613796688879793,0.5912305981732393,0.6558011828619186,0.1635216195000725,0.0,0.0,0.6724415189315801,0.5742961724432812
35,0.09169337885112651,0.17383422950770946,0.42015385518145193,0.6517268833305921,0.0,0.0,0.6171896453318106,0.5886094447909311,0.8244914320645095,0.19785871269022212,0.8444550461767301,0.4984989816549258,0.0,0.0,0.6157943237220339,0.47721395024055513
42,0.11293679495639365,0.8973936562099191,0.20235895712759244,0.028629843937934923,0.0,0.0,0.6084782800087511,0.8388253103633555,0.8482433864530543,0.6728254365333609,0.974304362714218,0.8225989139773242,0.0,0.0,0.9441202774616615,0.917936724778444
46,0.14444428224347813,0.5955687469137774,0.14380158267327303,0.1565850559987475,0.0,0.0,0.5698650981580216,0.9672839968092183,0.9599750261660808,0.6692309946928285,0.3264977389284484,0.1941541240469664,0.0,0.0,0.8730942184288595,0.028543154316427354
74,0.23971645932352365,0.42133586929973615,0.22091285032150892,0.19777403213375863,0.0,0.0,0.6587691817018442,0.7767832133553889,0.7531168874546624,0.2968141823980605,0.15870932559961182,0.0726173148871268,0.0,0.0,0.34398416079212385,0.11518974462398761
87,0.28752981713366504,0.7164770037602174,0.0034720845708054635,0.9007638167956687,0.0,0.0,0.5125114449582623,0.96049865596798,0.9790151241012516,0.2514888366930107,0.8211637965417001,0.9571931881654892,0.0,0.0,0.3024304706560252,0.20012081328954262
103,0.3579417692504654,0.7353862021191575,0.15965642323939064,0.9228500156904942,0.0,0.0,0.6837450037666764,0.6159698042636895,0.451617644000007,0.5614145704785944,0.7868518890857992,0.8401421964576923,0.0,0.0,0.10398544123893237,0.9947464797236388
134,0.5217123506244619,0.1506784845160991,0.19744310322628153,0.22257167031890995,0.0,0.0,0.548781044921524,0.9619490282229678,0.9824682072994081,0.8614529364953729,0.155516477071904,0.11675445170828569,0.0,0.0,0.07716993552422463,0.18025728127508653
135,0.5235276138918334,0.8790482872643776,0.1709741137251164,0.6346836385828153,0.0,0.0,0.715900311190175,0.6310449738075956,0.8428464988157117,0.997918964393204,0.8204720619546461,0.9525499990147012,0.0,0.0,0.05021682656877129,0.08086054459813087
143,0.5499954747206552,0.8138685788706861,0.3129543509212853,0.07119360315356038,0.0,0.0,0.4305994672702064,0.9862885174367152,0.1996349718017102,0.9445674420295508,0.19208434391445448,0.6319023376326813,0.0,0.0,0.6424652244284205,0.7213687434890868
191,0.8041147872652323,0.18515807125479167,0.08639396300842021,0.5782847399335946,0.0,0.0,0.6273171330685505,0.6468176891894116,0.9702537958588662,0.8658573523932048,0.18357545481596446,0.6839470739709055,0.0,0.0,0.37633128308640945,0.09470984762947397
204,0.8675227493946218,0.3185960576643786,0.07439445144722445,0.36695970490602636,0.0,0.0,0.47407142431374105,0.8158777652589696,0.21317069207935901,0.4924750961996521,0.798493426890282,0.7221490538857204,0.0,0.0,0.2893131503308057,0.2645179998880732
236,0.9947895735730066,0.06392199474603025,0.26846396919900783,0.2765524344598029,0.0,0.0,0.5354947650254509,0.5753202021666031,0.5827138559786645,0.658799042617978,0.9629733634668722,0.8661471575453292,0.0,0.0,0.1644240062506925,0.9164115508869931
