,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2,temperature,liq_density,liq_density_unc
0,0.2006933405091111,0.2880386491552635,0.20053415996493884,0.26202892435885133,0.2732735803620752,0.24081611060349029,0.3659381345818436,0.127970023969247,0.12431526235783363,0.3727793502907294,0.04698336626807736,0.05350748668615929,0.4200964606714924,0.9059387154726595,273.18,,
1,0.2006933405091111,0.2880386491552635,0.20053415996493884,0.26202892435885133,0.2732735803620752,0.24081611060349029,0.3659381345818436,0.127970023969247,0.12431526235783363,0.3727793502907294,0.04698336626807736,0.05350748668615929,0.4200964606714924,0.9059387154726595,293.16,,
2,0.2006933405091111,0.2880386491552635,0.20053415996493884,0.26202892435885133,0.2732735803620752,0.24081611060349029,0.3659381345818436,0.127970023969247,0.12431526235783363,0.3727793502907294,0.04698336626807736,0.05350748668615929,0.4200964606714924,0.9059387154726595,313.19,,
3,0.2006933405091111,0.2880386491552635,0.20053415996493884,0.26202892435885133,0.2732735803620752,0.24081611060349029,0.3659381345818436,0.127970023969247,0.12431526235783363,0.3727793502907294,0.04698336626807736,0.05350748668615929,0.4200964606714924,0.9059387154726595,333.18,,
4,0.2006933405091111,0.2880386491552635,0.20053415996493884,0.26202892435885133,0.2732735803620752,0.24081611060349029,0.3659381345818436,0.127970023969247,0.12431526235783363,0.3727793502907294,0.04698336626807736,0.05350748668615929,0.4200964606714924,0.9059387154726595,353.19,,
5,0.20164166221233185,0.2619009561340806,0.330272535832746,0.2728973150116008,0.2052118509164987,0.3480042640425275,0.2294402144748712,0.173609582135774,0.17245806678509273,0.47419611688408253,0.0625249445970941,0.028631023402849363,0.5611499412119435,0.6402287845126747,273.18,726.0654069182874,1.6987775339679139
6,0.20164166221233185,0.2619009561340806,0.330272535832746,0.2728973150116008,0.2052118509164987,0.3480042640425275,0.2294402144748712,0.173609582135774,0.17245806678509273,0.47419611688408253,0.0625249445970941,0.028631023402849363,0.5611499412119435,0.6402287845126747,293.16,639.1590486852134,3.6724909758392337
7,0.20164166221233185,0.2619009561340806,0.330272535832746,0.2728973150116008,0.2052118509164987,0.3480042640425275,0.2294402144748712,0.173609582135774,0.17245806678509273,0.47419611688408253,0.0625249445970941,0.028631023402849363,0.5611499412119435,0.6402287845126747,313.19,,
8,0.20164166221233185,0.2619009561340806,0.330272535832746,0.2728973150116008,0.2052118509164987,0.3480042640425275,0.2294402144748712,0.173609582135774,0.17245806678509273,0.47419611688408253,0.0625249445970941,0.028631023402849363,0.5611499412119435,0.6402287845126747,333.18,,
9,0.20164166221233185,0.2619009561340806,0.330272535832746,0.2728973150116008,0.2052118509164987,0.3480042640425275,0.2294402144748712,0.173609582135774,0.17245806678509273,0.47419611688408253,0.0625249445970941,0.028631023402849363,0.5611499412119435,0.6402287845126747,353.19,,
10,0.20252565197484637,0.20998492722146955,0.3875418267794576,0.21437780816256485,0.2847977698330027,0.24220755939423957,0.34581593277852307,0.18416062330033658,0.17121929087230636,0.5332836275807832,0.03398391882785816,0.020233770783527304,0.7393457278462505,0.7784993267016198,273.18,,
11,0.20252565197484637,0.20998492722146955,0.3875418267794576,0.21437780816256485,0.2847977698330027,0.24220755939423957,0.34581593277852307,0.18416062330033658,0.17121929087230636,0.5332836275807832,0.03398391882785816,0.020233770783527304,0.7393457278462505,0.7784993267016198,293.16,,
12,0.20252565197484637,0.20998492722146955,0.3875418267794576,0.21437780816256485,0.2847977698330027,0.24220755939423957,0.34581593277852307,0.18416062330033658,0.17121929087230636,0.5332836275807832,0.03398391882785816,0.020233770783527304,0.7393457278462505,0.7784993267016198,313.19,,
13,0.20252565197484637,0.20998492722146955,0.3875418267794576,0.21437780816256485,0.2847977698330027,0.24220755939423957,0.34581593277852307,0.18416062330033658,0.17121929087230636,0.5332836275807832,0.03398391882785816,0.020233770783527304,0.7393457278462505,0.7784993267016198,333.18,,
14,0.20252565197484637,0.20998492722146955,0.3875418267794576,0.21437780816256485,0.2847977698330027,0.24220755939423957,0.34581593277852307,0.18416062330033658,0.17121929087230636,0.5332836275807832,0.03398391882785816,0.020233770783527304,0.7393457278462505,0.7784993267016198,353.19,,
15,0.20326363672515438,0.23465263162905647,0.2819246603893447,0.19821944616997522,0.17477061726046586,0.20498298395298842,0.23522532040196373,0.25290726318964807,0.24943814680103546,0.46274258035309374,0.0496824279285593,0.05155314513012671,0.5628373660433958,0.8895001486940719,273.18,1248.7634942604989,3.58688945845055
16,0.20326363672515438,0.23465263162905647,0.2819246603893447,0.19821944616997522,0.17477061726046586,0.20498298395298842,0.23522532040196373,0.25290726318964807,0.24943814680103546,0.46274258035309374,0.0496824279285593,0.05155314513012671,0.5628373660433958,0.8895001486940719,293.16,1108.357702524459,5.804085111949418
17,0.20326363672515438,0.23465263162905647,0.2819246603893447,0.19821944616997522,0.17477061726046586,0.20498298395298842,0.23522532040196373,0.25290726318964807,0.24943814680103546,0.46274258035309374,0.0496824279285593,0.05155314513012671,0.5628373660433958,0.8895001486940719,313.19,893.0367897518727,6.0144419342498985
18,0.20326363672515438,0.23465263162905647,0.2819246603893447,0.19821944616997522,0.17477061726046586,0.20498298395298842,0.23522532040196373,0.25290726318964807,0.24943814680103546,0.46274258035309374,0.0496824279285593,0.05155314513012671,0.5628373660433958,0.8895001486940719,333.18,,
19,0.20326363672515438,0.23465263162905647,0.2819246603893447,0.19821944616997522,0.17477061726046586,0.20498298395298842,0.23522532040196373,0.25290726318964807,0.24943814680103546,0.46274258035309374,0.0496824279285593,0.05155314513012671,0.5628373660433958,0.8895001486940719,353.19,,
20,0.20487614359381093,0.224481123469632,0.205929229997114,0.27591652739506134,0.17240854301721126,0.279698567637481,0.24069032037783444,0.13528346522388207,0.35045698265840236,0.5584315225355496,0.07760508756768476,0.07194577629243731,0.5353421843503912,1.050814636579706,273.18,,
21,0.20487614359381093,0.224481123469632,0.205929229997114,0.27591652739506134,0.17240854301721126,0.279698567637481,0.24069032037783444,0.13528346522388207,0.35045698265840236,0.5584315225355496,0.07760508756768476,0.07194577629243731,0.5353421843503912,1.050814636579706,293.16,,
22,0.20487614359381093,0.224481123469632,0.205929229997114,0.27591652739506134,0.17240854301721126,0.279698567637481,0.24069032037783444,0.13528346522388207,0.35045698265840236,0.5584315225355496,0.07760508756768476,0.07194577629243731,0.5353421843503912,1.050814636579706,313.19,,
23,0.20487614359381093,0.224481123469632,0.205929229997114,0.27591652739506134,0.17240854301721126,0.279698567637481,0.24069032037783444,0.13528346522388207,0.35045698265840236,0.5584315225355496,0.07760508756768476,0.07194577629243731,0.5353421843503912,1.050814636579706,333.18,0.49879818182976327,0.05397993523320106
24,0.20487614359381093,0.224481123469632,0.205929229997114,0.27591652739506134,0.17240854301721126,0.279698567637481,0.24069032037783444,0.13528346522388207,0.35045698265840236,0.5584315225355496,0.07760508756768476,0.07194577629243731,0.5353421843503912,1.050814636579706,353.19,,
25,0.20587180881985828,0.23219882903687827,0.24907759661998047,0.158893598407787,0.24899005421950848,0.3297363672952005,0.32886556100874575,0.44202754106246556,0.4328543810464689,0.31709491536169776,0.06071911054347902,0.079417875766539,0.35586416278796923,0.6378285562574547,273.18,1003.2017532586575,1.7866909762024235
