,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
6806,0.9458808392483342,0.212722308027287,0.04687119980837515,0.5207207869352994,0.8956970728830566,0.9268855277430206,0.05189966009353371,0.3679543874793821
9903,0.8570525531293588,0.7349466668962265,0.11601600030550825,0.43426721526914075,0.9979347489821295,0.6783936284869332,0.003931638140616062,0.3348221443117941
3015,0.80111638090162,0.7133125622007894,0.05385181451723586,0.5005153527471687,0.9346161652153305,0.4491360618913127,0.06899156504678942,0.6294126808937159
13123,0.7712527953489146,0.8177536053628384,0.08845185416666662,0.43024201775086923,0.9205213391042564,0.6472709583847875,0.04444176605939322,0.7144108204992236
13730,0.9233822350639046,0.002406160523537216,0.031209435257837974,0.47514736265612934,0.9643096490095555,0.10961024981454884,0.027360006476702,0.40895095520333113
5573,0.8793368952334771,0.6236621799842469,0.014332230684717683,0.4530124883275808,0.8948931124518066,0.305430821581606,0.07120578987573312,0.2967441594443476
17587,0.8102389246212578,0.8541049607397688,0.0646283111230368,0.37036960052245743,0.9618439779290161,0.2593209312000982,0.06678920850217164,0.8622148707251719
4903,0.9883120201952664,0.1330720701625434,0.01138860944551519,0.4582496772561463,0.7800329508733477,0.9287514228056675,0.008532879194454671,0.7825404571494039
1504,0.6317813920606804,0.7855748959657193,0.08300986545966119,0.5062468476632794,0.9515328971656221,0.8997684489055453,0.05978356505971705,0.7353542341500412
11686,0.9578611374225202,0.5106245771110658,0.03271642734172578,0.4443995844148118,0.9206634328977823,0.5643111754202749,0.060782813960084,0.5333166959275611
5673,0.9260652026506829,0.37308129258909484,0.0667986500444765,0.4415452851968383,0.7575871436981282,0.43313667921436544,0.05619336277450881,0.2995917487966626
11399,0.9144165443366339,0.4535058223738123,0.07154180759806612,0.4547159630721676,0.8066832040210486,0.029125202748808702,0.051735149212973855,0.893404853884364
9105,0.7398014705170866,0.6404701240426774,0.0070677603718918925,0.562588456911649,0.79695216381445,0.9762031207630762,0.0687115375394836,0.1525235705920671
21402,0.9797415565260681,0.1092480460615703,0.006121495547847478,0.36809171037327826,0.9910085581889714,0.25377468784363677,0.050208272830189395,0.06848023722585816
14290,0.73900512481114,0.8143537210751653,0.13149835153133724,0.4202660543226877,0.9890528623342459,0.7653719158167323,0.013580723282331703,0.6223894916055083
17428,0.8506145076373376,0.599632489610506,0.05212587862783795,0.5689910390843568,0.8635285248502604,0.8718559495423261,0.0249703085821578,0.39818441964453133
4633,0.7463817221380246,0.7309400413835211,0.11437640503996084,0.5290546700027392,0.9225424888445953,0.8002391598819086,0.018381071307578774,0.7366746051300013
21276,0.8948032237497018,0.41616434606523334,0.0846603522470291,0.49401582161915986,0.5976807004013934,0.665112713515768,0.07168391179521064,0.8953207722151184
6226,0.9270991715546667,0.41582056253068445,0.03187559207701366,0.5212419239069285,0.8130502114374225,0.7084931858465846,0.01964717510079905,0.9285396322872436
12299,0.8992471816272519,0.21391971831593024,0.014658915889393062,0.535357547003365,0.6683933685573418,0.6168035079099561,0.05919007574864888,0.43170926908575663
11230,0.990717732337374,0.23676910010925195,0.13249072399159434,0.38961365584308494,0.7992614354100384,0.9366107514012246,0.018501107233691017,0.9675011722836495
14059,0.9380900783042155,0.5167720055041282,0.01833559575717795,0.39490012822386844,0.7114073876228254,0.43111148499977486,0.029105333362913408,0.13413473162848913
3174,0.7310813293896099,0.3585518114736144,0.07866816752878535,0.6998004677157583,0.9541430587649681,0.9724554498094411,0.09819585493439031,0.9024445892710197
5085,0.7157167088939973,0.8036144142849339,0.059626871151334776,0.4244101880137045,0.6985810597270484,0.5299147228713905,0.07466113134314661,0.9425371147680824
12075,0.5827580444417272,0.4893295820437091,0.006890413121231736,0.7220157690209215,0.9664594188351946,0.8385026251831358,0.06627684745670183,0.9798678636491622
4489,0.7967147382314992,0.6135423372915647,0.019880068440813733,0.5267235997854538,0.6796640929615912,0.5865504371384415,0.030879088614049605,0.6570075257699177
3604,0.6308434235664417,0.2734161807754575,0.00931648513651966,0.7712765144951065,0.843133777221017,0.8890501203057753,0.024820711839848093,0.8593059916027195
5734,0.8147861948996448,0.8083989086525676,0.018673038968620298,0.39975184213629666,0.7691411566264577,0.6431182425509137,0.050715966263635164,0.9320525643445724
5548,0.9543412614729281,0.7857318420979172,0.024324368287479442,0.33804607600494485,0.9775420087000405,0.7239074059093957,0.03624668515881452,0.5028065074139455
12492,0.8704005926731254,0.7273377858688546,0.012997802877301151,0.3489798620293401,0.8290141857009354,0.9932563393526479,0.13888131816997734,0.08355999306155801
4471,0.9931430362278336,0.1175440435820853,0.0006751149718304693,0.3505130471410205,0.8302779621116274,0.8807359453516677,0.14537400451667373,0.5225684307111557
9421,0.7989482928310798,0.6775640537873596,0.053926565944473814,0.5201955825865464,0.9219083904492695,0.6502606675066628,0.0679857155066915,0.9600383101812258
9152,0.9404067752866577,0.8580873177153798,0.03589783556024922,0.237716979569109,0.9173114330439716,0.8442144204542686,0.09290781166680563,0.590076399548503
3943,0.9074861070848681,0.6575213384398434,0.022143334762614937,0.34367383545276053,0.5604092560125049,0.7018593869375687,0.09813831493674285,0.5287692879705238
19240,0.8564338491889534,0.27826934013918664,0.026833884773451396,0.5658585422660238,0.7709757223800073,0.82434688460245,0.09576375076543711,0.4335064047189171
